Year,Month,Mean Wind Speed (mi/hr),Max Wind Speed (mi/hr),Windy Days
2016,May,13.78,28.03,2
2016,Jun,14.19,24.95,6
2016,Jul,12.27,21.39,2
2016,Aug,11.62,25.87,3
2016,Sep,15.06,26.41,5
2016,Oct,15.16,30.67,5
2016,Nov,15.79,26.58,6
2016,Dec,17.39,35.22,13
2017,Jan,16.46,30.42,11
2017,Feb,15.51,32.44,7
2017,Mar,18.04,30.42,13
2017,Apr,15.05,23.94,3
2017,May,12.75,34.45,3
2017,Jun,14.53,26.17,5
2017,Jul,11.34,22.82,1
2017,Aug,10.95,19.46,0
2017,Sep,13,22.37,3
2017,Oct,19.14,35.34,15
2017,Nov,19.42,33.55,15
2017,Dec,16.08,28.19,7
2018,Jan,17.66,30.87,10
2018,Feb,18.15,31.76,10
2018,Mar,14.61,30.42,6
2018,Apr,13.99,25.95,4
2018,May,11.54,19.24,0
2018,Jun,16.37,28.86,6
2018,Jul,10.9,23.71,3
2018,Aug,12.71,19.01,0
2018,Sep,12.53,20.8,1
2018,Oct,14.21,23.71,5
2018,Nov,16.68,29.75,10
2018,Dec,18.63,34,14
2019,Jan,17.43,34.45,13
2019,Feb,15.61,28.63,7
2019,Mar,12.99,30.87,3
2019,Apr,14.55,25.95,7
2019,May,13.13,24.38,4
2019,Jun,13.71,22.82,2
2019,Jul,12.66,26.17,3
2019,Aug,11.31,18.12,0
2019,Sep,14.7,31.76,7
2019,Oct,17.21,30.42,10
2019,Nov,17.02,32.44,9
2019,Dec,17.98,35.79,10
2020,Jan,18.6,32.88,13
2020,Feb,19.82,41.61,14
2020,Mar,18.13,32.66,10
2020,Apr,16.13,25.28,5
2020,May,14.73,28.63,8
2020,Jun,15.1,25.72,3
2020,Jul,13.97,26.17,4
2020,Aug,13.1,25.05,1
2020,Sep,14.99,30.2,7
2020,Oct,18.46,30.65,15
2020,Nov,21.28,31.76,18
2020,Dec,18.43,33.11,12
2021,Jan,17.79,39.37,14
2021,Feb,17.44,38.03,10
2021,Mar,16.48,34.45,9
2021,Apr,15.41,25.72,8
2021,May,13.47,29.08,6
2021,Jun,13.14,27.29,3
2021,Jul,9.97,18.12,0
2021,Aug,12.66,24.38,3
2021,Sep,16.15,23.94,6
2021,Oct,15.67,26.17,10
2021,Nov,21.62,36.91,16
2021,Dec,18.57,36.91,11
2022,Jan,20.47,29.08,19
2022,Feb,20.09,30.65,16
2022,Mar,15.93,26.62,11
2022,Apr,20.65,34.23,5
